x,y,z,yaw
0.0221500400919467,-0.08757085781544442,0.2,-122.76723595587067
0.00849240524694325,-0.11553405659894143,0.35705846946996944,-128.59848862826038
0.000417274582598913,-0.15913609479154855,0.5682373636535235,-135.5737765356762
-0.0043922739169959145,-0.20385346838406151,0.7013463835631099,-143.80764313660706
-0.01910122879780824,-0.2624729321471282,0.8208243817090989,-153.1121432102838
-0.05019372361712153,-0.33293974889176237,0.9224247370447431,-163.2560354452357
-0.09387510424878977,-0.40679025713886535,1.0,-174.03333060878185
-0.2387111417217446,-0.5578759568078178,1.0,-184.93816703843615
-0.3470332889751132,-0.6203583581107004,1.0,-196.1013829591315
-0.4765160092285701,-0.6566720643213817,1.0,-208.4050052085552
-0.6124918224556105,-0.6595931470394134,1.0,-221.48914223679827
-0.7435545218842371,-0.6248326352664402,1.0,-236.30489463031532
-0.8670132155929294,-0.5601753026247025,1.0,-252.21116435007528
-0.9764888916696822,-0.4646276393373098,1.0,-268.6492421661979
-1.0,-0.34142476072801015,1.0,-284.9970948426548
-1.0,-0.19883404765278098,1.0,-300.24562106978954
-1.0,-0.04898313504776782,1.0,-314.4921393597581
-1.0,0.09852526435362442,1.0,-327.4540868267984
-1.0,0.2392421261806573,1.0,-338.9955038967572
-1.0,0.35235406620694054,1.0,-349.2967627127526
-0.9545062678200859,0.47269035535199305,1.0,-358.57203206661495
-0.7822130986622403,0.44203376046248843,1.0,-366.9700732369716
-0.6928491937262672,0.3828145653009415,1.0,-374.8844499947647
-0.6117590993642806,0.2960258435724037,1.0,-382.01845797224513
-0.5394691624811716,0.20414483273135767,1.0,-387.07673787325143
-0.46594908939940577,0.11226108257791824,1.0,-389.596222523156
-0.38285972513258454,0.018764916195401122,1.0,-388.68722123683835
-0.28721707606954233,-0.07596292801733528,1.0,-384.951567997159
-0.18827298097312453,-0.16765340255307298,1.0,-378.9819878985444
-0.08562897555530073,-0.2574603701010346,1.0,-371.44276264130815
0.023134059725063178,-0.34472218044102193,1.0,-363.01598677922357
0.13905214427837304,-0.4272079588047095,1.0,-353.99244541948264
0.26241730105664046,-0.5009966662951878,1.0,-344.4419603364271
0.38318026076470096,-0.5539384318249566,1.0,-334.3513368734454
0.4965611827160631,-0.5764069071837834,1.0,-323.0603662471244
0.6095471454518181,-0.568485192315919,1.0,-310.73473004376666
0.7177392955337252,-0.5270972230604717,1.0,-297.226856231925
0.8127273474420821,-0.45290765222162,1.0,-282.7619111643151
0.888355508020946,-0.35028508082032206,1.0,-267.7981125276652
0.9417046887534006,-0.22617074985589294,1.0,-252.418619957863
0.9706047551972528,-0.08714793803436409,1.0,-237.52651218667987
0.9738276183605195,0.059711427667311266,1.0,-223.3632188174252
0.9538491112845284,0.2044386683830193,1.0,-209.92590049417748
0.9152559467724392,0.3371607200375625,1.0,-197.17485204063863
0.8507077259676796,0.4406077742842691,1.0,-184.96577182569968
0.7725745426756995,0.5115474545529911,1.0,-173.25303122624985
0.5805584388119833,0.5479539045265743,1.0,-161.94436329223035
0.47603022562605996,0.5127300888299942,1.0,-151.08636033487278
0.37355989313551363,0.44677342027425765,1.0,-140.932027326975
0.2764642698956387,0.3572591999279601,1.0,-132.1475662636341
0.19832931082429628,0.2610099354492766,1.0,-124.58436807818791
0.130381955618837,0.15801441014877385,0.9922465894903455,-118.44723275613698
0.07807233563757367,0.06488141699561052,0.955686022554125,-113.62329183630973
0.044653495454362466,-0.012730395314948894,0.8849202330623355,-109.82019377479412
0.026136519041444557,-0.07207484005817344,0.7785689879740987,-107.17227554988774
0.019593780354729716,-0.1119006606617144,0.6434357084333896,-105.02281563917529
0.01147874357178808,-0.16101345077157017,0.4867629055678844,-103.27533595223065
